Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2020 Jeep Grand Cherokee Laredo,$ 6 200 USD,1,1C4RJEAG4LC295443,64 560 mi(подтвержден),16.05.2024 19:00 UTC,3.6l 6,,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,двигатель запускается,""PHOENIX, ARIZONA"",$ 20 071 USD,$ 23 650 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части
2013 Ford F150 Super Cab,$ 900 USD,1,1FTFX1EF4DFD84229,198 512 mi(подтвержден),16.05.2024 17:00 UTC,5.0l 8,,Черный,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 10 663 USD,$ 15 825 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2016 Mazda 3 Grand Touring,$ 2 750 USD,1,JM1BM1N7XG1319077,107 901 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 6 246 USD,$ 12 450 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2009 Toyota Corolla Base,$ 1 150 USD,2,1NXBU40E29Z111392,274 213 mi,16.05.2024 17:00 UTC,1.8l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 6 067 USD,$ 7 600 USD,TX - SALVAGE VEHICLE TITLE,Материальный ущерб,Повреждение задней части,
2022 Nissan Frontier S,$ 13 300 USD,1,1N6ED1CLXNN646207,24 411 mi(подтвержден),16.05.2024 19:00 UTC,3.8l 6,,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 9 779 USD,$ 28 125 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Аренда,Повреждение стороны,Повреждение задней части
2003 Ford Ranger,$ 625 USD,1,1FTYR10D83PA45443,141 295 mi,16.05.2024 18:00 UTC,2.3l 4,,Черный,Механическая,Бензин,задний привод,Ключи присутствуют,,""ALBUQUERQUE, NEW MEXICO"",$ 7 856 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2015 Volkswagen Jetta Gli,$ 2 900 USD,1,3VW4T7AJ0FM290882,111 465 mi(подтвержден),16.05.2024 17:00 UTC,2 L 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 10 045 USD,$ 11 050 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны
2016 Freightliner Cascadia 125,$ 4 000 USD,1,3AKJGLD50GSFN4154,,16.05.2024 16:00 UTC,14.8l 6,трактор,Синий,Механическая,Дизель,задний привод,,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 50 927 USD,$ 27 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2013 Chevrolet Cruze Ls,$ 1 000 USD,1,1G1PA5SH2D7277878,67 126 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Серый,Автоматическая,Бензин,передний привод,,,""PHOENIX, ARIZONA"",$ 10 364 USD,$ 6 075 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части
2010 Lexus Is 350,$ 2 600 USD,1,JTHFE2C27A2502366,,16.05.2024 18:00 UTC,3.5l 6,кабриолет,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""ALBUQUERQUE, NEW MEXICO"",$ 17 038 USD,$ 11 250 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2021 Dodge Charger Gt,$ 7 800 USD,1,2C3CDXHG8MH563329,35 541 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Синий,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 24 959 USD,$ 27 700 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2023 Hyundai Elantra Sel,$ 9 200 USD,1,5NPLM4AG2PH088390,12 539 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 18 101 USD,$ 23 400 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2013 Toyota Prius,$ 1 050 USD,1,JTDKN3DU9D1683020,244 796 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""ANTELOPE, CALIFORNIA"",$ 17 101 USD,$ 9 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части
2015 Jeep Grand Cherokee Overland,$ 3 550 USD,17,1C4RJFCG0FC853053,190 311 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Серый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""ELGIN, ILLINOIS"",$ 15 982 USD,$ 15 575 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2012 Volkswagen Jetta Se,$ 3 000 USD,1,3VWDP7AJ5CM358707,59 055 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 5,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 6 278 USD,$ 6 125 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2005 Dodge Ram 1500 St,$ 1 100 USD,1,1D7HU18D35S128528,361 385 mi(подтвержден),16.05.2024 18:00 UTC,5.7l 8,пикап экипажа,Белый,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""ALBUQUERQUE, ARIZONA"",$ 0 USD,$ 6 125 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повсюду,Повреждение ходовой части
2017 Chevrolet Malibu Lt,$ 2 150 USD,1,1G1ZE5ST2HF207309,128 790 mi(подтвержден),16.05.2024 19:00 UTC,1.5l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 10 413 USD,$ 14 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2019 Nissan Versa S,$ 800 USD,2,3N1CN7AP8KL873295,,16.05.2024 18:00 UTC,1.6l 4,,Белый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""ALBUQUERQUE, NEW MEXICO"",$ 16 819 USD,$ 11 975 USD,NM - NON-REPAIRABLE VEHICLE CERT,Кража,Биологическая/Химическая опасность,Вандализм
2007 Gmc C7500 C7c042,$ 1 750 USD,1,1GDK7C1C87F900338,355 495 mi(подтвержден),16.05.2024 16:00 UTC,6,,Белый,Автоматическая,Дизель,задний привод,Ключи присутствуют,заводится и едет,""ADELANTO, CALIFORNIA"",$ 30 190 USD,$ 22 731 USD,CA - SALVAGE CERTIFICATE,Столкновение,Верх/крыша,
2013 Nissan Sentra S,$ 975 USD,1,3N1AB7AP2DL795311,101 066 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""FRESNO, CALIFORNIA"",$ 8 407 USD,$ 5 750 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,
2017 Chevrolet Equinox Ls,$ 2 300 USD,1,2GNALBEK1H1602916,88 799 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 10 615 USD,$ 11 950 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2019 Bmw X5 Xdrive40i,$ 8 200 USD,1,5UXCR6C52KLL26265,,16.05.2024 17:00 UTC,3.0l 6,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 47 904 USD,$ 34 500 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2017 Chevrolet Traverse Lt,$ 2 000 USD,1,1GNKRHKD8HJ276369,42 842 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 19 877 USD,$ 17 200 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2014 Ford Edge Sel,$ 1 950 USD,1,2FMDK3JCXEBA23552,104 790 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 5 768 USD,$ 10 150 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2010 Nissan Altima Base,$ 750 USD,1,1N4AL2AP8AN452503,161 153 mi,16.05.2024 17:00 UTC,2.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 5 507 USD,$ 5 800 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2015 Kia Cadenza Premium,$ 2 800 USD,1,KNALN4D77F5191096,70 482 mi(подтвержден),16.05.2024 17:00 UTC,3.3l 6,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 5 515 USD,$ 7 925 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение стороны,
2018 International Lt625,$ 9 700 USD,1,3HCDZAPRXJL351510,465 328 mi(подтвержден),16.05.2024 16:00 UTC,15.0l 6,,Белый,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""SACRAMENTO, ARIZONA"",$ 0 USD,$ 35 700 USD,AZ - CERT OF TITLE - SALVAGE,Аренда,Повреждение задней части,Повреждение передней части
2016 Kia Sorento Lx,$ 775 USD,1,5XYPG4A33GG114640,,16.05.2024 19:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 12 282 USD,$ 10 250 USD,CA - SALVAGE CERTIFICATE,Кража,Повреждение передней части,Вандализм
2022 Hyundai Accent Se,$ 5 000 USD,1,3KPC24A64NE175769,22 022 mi(подтвержден),16.05.2024 19:00 UTC,1.6l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ANTELOPE, CALIFORNIA"",$ 18 789 USD,$ 18 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,
2014 Ford Escape Se,$ 1 350 USD,1,1FMCU9G96EUB49129,112 743 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 8 273 USD,$ 9 175 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2014 Volkswagen Jetta Se,$ 1 350 USD,1,3VWD07AJ1EM296309,104 004 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 5 696 USD,$ 9 075 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2014 Ford Explorer Limited,$ 4 100 USD,1,1FM5K8F8XEGB90069,101 353 mi(подтвержден),16.05.2024 19:00 UTC,3.5l 6,,Серый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 12 707 USD,$ 11 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2011 Toyota Camry Base,$ 1 650 USD,1,4T1BF3EK8BU628883,166 615 mi(подтвержден),16.05.2024 19:00 UTC,2.5l 4,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 0 USD,$ 8 525 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,
2020 Chevrolet Trax 1lt,$ 1 850 USD,1,3GNCJLSB7LL131810,51 142 mi(подтвержден),16.05.2024 17:00 UTC,1.4l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 12 910 USD,$ 17 400 USD,IL - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины
2023 Toyota Gr 86,$ 2 550 USD,1,JF1ZNBC14P8763567,13 877 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,,Черный,Автоматическая,Бензин,задний привод,,,""COLTON, CALIFORNIA"",$ 32 635 USD,$ 31 075 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение стороны
2013 Toyota Corolla Base,$ 1 900 USD,1,2T1BU4EE2DC955905,132 134 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 8 929 USD,$ 9 350 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,
2007 Volkswagen City Jetta,$ 400 CAD,1,3VWTK69M97M653155,214 855 mi,16.05.2024 18:00 UTC,2.0l 4,4-дверный седан,Черный,Механическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NISKU, ALBERTA"",$ 3 594 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2024 Kia Telluride Ex,$ 19 700 USD,1,5XYP3DGC4RG422955,2 088 mi(подтвержден),16.05.2024 17:00 UTC,3.8l 6,,Зеленый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""ELGIN, ILLINOIS"",$ 48 089 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2008 Chrysler 300 Touring,$ 575 USD,2,2C3LA53G48H211648,144 051 mi(подтвержден),16.05.2024 19:00 UTC,3.5l 6,4-дверный седан,Кремовый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 7 390 USD,$ 3 775 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2009 Lexus Ls 460,$ 1 150 USD,1,JTHBL46F795087901,122 690 mi(подтвержден),16.05.2024 19:00 UTC,4.6l 8,4-дверный седан,Черный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 7 880 USD,$ 9 125 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части
2013 Ford F150 Supercrew,$ 2 700 USD,1,1FTFW1ET9DKF42323,224 052 mi(подтвержден),16.05.2024 19:00 UTC,3.5l 6,,Серый,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""ANTELOPE, CALIFORNIA"",$ 8 837 USD,$ 16 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2010 Lexus Rx 450,$ 3 650 USD,1,JTJZB1BA2A2400657,163 883 mi(подтвержден),16.05.2024 19:00 UTC,3.5l 6,,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 0 USD,$ 11 150 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2014 Gmc Sierra K1500 Slt,$ 5 300 USD,1,3GTU2VECXEG473595,139 920 mi(подтвержден),16.05.2024 19:00 UTC,5.3l 8,пикап экипажа,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""ANTELOPE, CALIFORNIA"",$ 13 848 USD,$ 20 875 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2010 Lexus Is 250,$ 725 USD,1,JTHCF5C24A5039456,167 937 mi,16.05.2024 17:00 UTC,2.5l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 13 021 USD,$ 10 600 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2017 Subaru Crosstrek Limited,$ 4 600 USD,1,JF2GPALC9HH280134,60 262 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 19 738 USD,$ 20 425 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2006 Honda Accord Value,$ 825 USD,1,1HGCM56186A024615,255 312 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LOS ANGELES, CALIFORNIA"",$ 3 889 USD,$ 6 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2016 Jeep Renegade Trailhawk,$ 900 USD,1,ZACCJBCTXGPD87768,70 986 mi(подтвержден),16.05.2024 18:00 UTC,2.4l 4,,Красный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,двигатель запускается,""ALBUQUERQUE, NEW MEXICO"",$ 21 225 USD,$ 12 325 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение ходовой части
2023 Honda Sxs700 M2,$ 2 050 USD,2,1HFVE0299P4801148,5 264 mi(подтвержден),16.05.2024 17:00 UTC,1,,Зеленый,Автоматическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""CAHOKIA HEIGHTS, ILLINOIS"",$ 12 111 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Столкновение,Опрокидывание/Перевертышь,
2012 Peterbilt 365,$ 7 200 USD,1,1XPSD79X9CD141506,,16.05.2024 16:00 UTC,11.9l 6,трактор,Белый,Механическая,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 0 USD,$ 20 525 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,
2005 Ford Mustang Gt,$ 1 150 USD,2,1ZVHT82H755147614,,16.05.2024 19:00 UTC,4.6l 8,,Красный,Механическая,Бензин,задний привод,,улучшенные транспортные средства,""LAS VEGAS, NEVADA"",$ 11 479 USD,$ 675 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2018 Dodge Charger R/t,$ 4 500 USD,1,2C3CDXCT1JH254253,82 438 mi(подтвержден),16.05.2024 19:00 UTC,5.7l 8,,Красный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 23 621 USD,$ 21 225 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2002 Jeep Liberty Limited,$ 325 USD,1,1J4GL58K82W151476,157 103 mi,16.05.2024 17:00 UTC,3.7l 6,,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 4 661 USD,$ 3 700 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2002 Honda Accord Ex,$ 225 USD,1,JHMCG660X2C016869,218 283 mi(подтвержден),16.05.2024 19:00 UTC,2.3l 4,4-дверный седан,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LOS ANGELES, CALIFORNIA"",$ 4 593 USD,$ 4 450 USD,CA - SALVAGE CERTIFICATE,Кража,Повреждение передней части,Повреждение задней части
2018 Ggsd Reefer,$ 3 750 USD,1,1GRAA0626JW101154,,16.05.2024 16:00 UTC,,,Белый,,,,,улучшенные транспортные средства,""LUFKIN, TEXAS"",$ 0 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Опрокидывание/Перевертышь,
2018 Harley-davidson Fltrx Road Glide,$ 5 500 USD,1,1HD1KHC10JB672453,,16.05.2024 17:00 UTC,2,,Черный,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""DALLAS, TEXAS"",$ 18 359 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,
2017 Nissan Rogue Sv,$ 4 100 USD,1,5N1AT2MV3HC744484,113 369 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 10 706 USD,$ 13 125 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,
2013 Mazda 3 I,$ 575 USD,1,JM1BL1V7XD1770315,84 552 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 13 095 USD,$ 7 550 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повсюду
2013 Kia Forte Ex,$ 1 600 USD,1,KNAFU4A2XD5692750,145 912 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 4 795 USD,$ 5 550 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2014 Bmw X6 Xdrive35i,$ 3 100 USD,1,5UXFG2C56E0C44401,102 916 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 6 515 USD,$ 14 175 USD,TX - CERTIFICATE OF TITLE,Изьятие,Повреждение передней части,
2017 Lexus Rx 350 Base,$ 12 100 USD,1,2T2BZMCA4HC128667,64 793 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 7 868 USD,$ 25 750 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2018 Jeep Cherokee Latitude,$ 2 600 USD,1,1C4PJLCB3JD553343,83 867 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 11 060 USD,$ 14 700 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2017 Buick Lacrosse Essence,$ 2 150 USD,1,1G4ZP5SS0HU166095,94 850 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 11 257 USD,$ 15 450 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,
2017 Nissan Maxima 3.5s,$ 1 200 USD,1,1N4AA6APXHC378262,169 084 mi(подтвержден),16.05.2024 19:00 UTC,3.5l 6,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTELOPE, CALIFORNIA"",$ 12 468 USD,$ 13 400 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Вода/Наводнение,Повреждение передней части
2017 Toyota Tundra Crewmax Sr5,$ 12 500 USD,1,5TFEW5F1XHX215065,57 624 mi(подтвержден),16.05.2024 17:00 UTC,5.7l 8,,Серебряный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 18 034 USD,$ 30 125 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2021 Kawasaki Krf 1000 A,$ 9 800 USD,1,JKARFCA17MB509036,1 711 mi(подтвержден),16.05.2024 17:00 UTC,2,,Зеленый,Автоматическая,Бензин,,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 17 862 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение ходовой части,
2014 Hyundai Accent Gls,$ 650 USD,1,KMHCT5AE5EU192975,222 694 mi,16.05.2024 17:00 UTC,1.6l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 18 398 USD,$ 6 925 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повсюду,
2023 Volkswagen Atlas Cross Sport Se,$ 17 500 USD,1,1V2JE2CA1PC221474,14 460 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 15 575 USD,$ 34 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,
2017 Honda Accord Exl,$ 7 400 USD,1,1HGCR2F93HA206327,44 478 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,4-дверный седан,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEWTON, ALABAMA"",$ 17 071 USD,$ 18 500 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение задней части,Повреждение стороны
2017 Chevrolet Camaro Lt,$ 8 500 USD,1,1G1FB1RS8H0196269,54 720 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 18 345 USD,$ 18 345 USD,TN - SALVAGE CERTIFICATE,Кража,Вандализм,
2008 Nissan Frontier Crew Cab Le,$ 2 200 USD,1,1N6AD07W08C432825,139 833 mi(подтвержден),16.05.2024 18:00 UTC,4.0l 6,пикап экипажа,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""ALBUQUERQUE, NEW MEXICO"",$ 0 USD,$ 9 750 USD,NM - CERTIFICATE OF TITLE,Изьятие,Механическое повреждение,
2021 Harley-davidson Flhtcutgse,$ 15 700 USD,1,1HD1TBH14MB955266,8 447 mi(подтвержден),16.05.2024 17:00 UTC,2,,Красный,Механическая,Бензин,,Ключи присутствуют,заводится и едет,""PHOENIX, NEW MEXICO"",$ 35 341 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,
2011 Bmw 550 I,$ 1 150 USD,1,WBAFR9C56BC270683,149 173 mi(подтвержден),16.05.2024 19:00 UTC,4.4l 8,,Белый,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 7 147 USD,$ 6 800 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение задней части
