Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач
2021 Toyota Tacoma Double Cab,$ 14 200 USD,1,3TYCZ5AN3MT029428,64 233 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 19 557 USD,$ 35 225 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Механическая
2016 Kia Sedona Lx,$ 2 650 USD,1,KNDMB5C15G6184887,79 148 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Бордовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 8 186 USD,$ 8 850 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2019 Dodge Journey Crossroad,$ 2 050 USD,1,3C4PDCGG6KT727575,110 980 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,,Серый,Этанолосодержащий бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 15 050 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая
2019 Hyundai Veloster Base,$ 3 050 USD,2,KMHTG6AF0KU016513,176 488 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 0 USD,$ 14 925 USD,AZ - CERTIFICATE OF TITLE,Дилерские услуги Copart,Незначительная вмятина/царапины,Повреждение передней части,Автоматическая
2006 Toyota Tacoma Access Cab,$ 3 900 USD,1,5TETX22N86Z282605,139 554 mi(подтвержден),13.05.2024 19:00 UTC,2.7l 4,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 8 005 USD,$ 9 325 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2018 Chevrolet Malibu Lt,$ 3 200 USD,1,1G1ZD5ST0JF260549,58 596 mi(подтвержден),13.05.2024 19:00 UTC,1.5l 4,,Бордовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 15 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2022 Honda Civic Sport,$ 9 800 USD,2,2HGFE2F5XNH586933,14 073 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 22 853 USD,$ 25 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2009 Nissan Murano S,$ 1 150 USD,2,JN8AZ18W29W156905,201 251 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Коричневый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 10 433 USD,$ 4 850 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение передней части,,Автоматическая
2009 Acura Tsx,$ 800 USD,2,JH4CU26639C004613,194 310 mi(подтвержден),13.05.2024 14:00 UTC,2.4l 4,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"FINKSBURG, MARYLAND",$ 10 906 USD,$ 7 650 USD,MD - CERT OF SALVAGE < 75% DAMAGE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая
2012 Honda Accord Ex,$ 1 100 USD,1,1HGCP2F74CA131490,163 300 mi(подтвержден),13.05.2024 14:00 UTC,2.4l 4,4-дверный седан,Коричневый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"FINKSBURG, MARYLAND",$ 7 491 USD,$ 8 475 USD,MD - CERT OF SALVAGE < 75% DAMAGE,Неизвестно,Повреждение передней части,Повреждение задней части,Автоматическая
2019 Audi Q7 Premium Plus,$ 17 400 USD,1,WA1LAAF74KD001551,38 571 mi(подтвержден),13.05.2024 19:00 UTC,3.0l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 28 675 USD,CA - SALVAGE CERTIFICATE,Вандализм,Вандализм,,Автоматическая
2011 Dodge Nitro Heat,$ 475 USD,1,1D4PT4GKXBW604761,233 673 mi,13.05.2024 19:00 UTC,3.7l 6,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 7 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение задней части,Автоматическая
2015 Lexus Rx 350 Base,$ 5 600 USD,2,2T2BK1BA1FC284232,,13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,,"PHOENIX, ARIZONA",$ 37 905 USD,$ 18 200 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2013 Toyota Camry Hybrid,$ 1 350 USD,1,4T1BD1FK9DU088472,229 080 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,4-дверный седан,Серый,Гибрид,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 10 325 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение ходовой части,,Автоматическая
2014 Honda Accord Ex,$ 3 550 USD,1,1HGCT1B75EA003421,45 198 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 11 014 USD,$ 17 600 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая
2019 Kia Optima Lx,$ 4 650 USD,1,5XXGT4L31KG365484,60 446 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Бордовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 12 002 USD,$ 15 600 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2016 Ford Mustang,$ 4 200 USD,1,1FA6P8AM0G5274033,,13.05.2024 19:00 UTC,3.7l 6,,Белый,Бензин,задний привод,,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 11 287 USD,$ 15 225 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Пожар в салоне,Повреждение передней части,Автоматическая
2019 Mitsubishi Mirage G4 Es,$ 525 USD,1,ML32F3FJ7KHF06055,123 869 mi(подтвержден),13.05.2024 19:00 UTC,1.2l 3,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 11 267 USD,$ 10 100 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2002 Ford Mustang Gt,$ 1 450 USD,1,1FAFP45XX2F208847,51 248 mi(подтвержден),13.05.2024 19:00 UTC,4.6l 8,,Красный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 5 268 USD,$ 6 450 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Механическое повреждение,,Автоматическая
2021 Honda Accord Sport,$ 6 100 USD,1,1HGCV1F39MA058230,41 249 mi(подтвержден),13.05.2024 19:00 UTC,1.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 25 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2013 Bmw M3,$ 4 900 USD,1,WBSDX9C51DE785445,103 911 mi(подтвержден),13.05.2024 19:00 UTC,4.0l 8,,Угольный,Бензин,задний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 22 775 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
1999 Chevrolet Corvette,$ 3 350 USD,1,1G1YY22G9X5121505,104 446 mi(подтвержден),13.05.2024 19:00 UTC,5.7l 8,,Синий,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 0 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Пожертвование,Незначительная вмятина/царапины,,Автоматическая
2015 Kia Optima Lx,$ 1 700 USD,1,5XXGM4A7XFG367789,187 040 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 8 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2019 Subaru Crosstrek Premium,$ 1 650 USD,1,JF2GTACC1K8273729,127 314 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Угольный,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 22 211 USD,$ 17 725 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2018 Chevrolet Cruze Lt,$ 800 USD,1,1G1BE5SM5J7160416,128 740 mi(подтвержден),13.05.2024 19:00 UTC,1.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 8 091 USD,$ 10 850 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2018 Mitsubishi Mirage Se,$ 1 400 USD,1,ML32A4HJ7JH009343,85 501 mi(подтвержден),13.05.2024 19:00 UTC,1.2l 3,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 8 930 USD,$ 8 175 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2016 Hyundai Elantra Se,$ 825 USD,1,5NPDH4AE8GH710689,,13.05.2024 19:00 UTC,1.8l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 16 249 USD,$ 11 725 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,Повреждение ходовой части,Автоматическая
2002 Lexus Es 300,$ 60 USD,2,JTHBF30G820007592,169 959 mi(подтвержден),13.05.2024 19:00 UTC,3.0l 6,,Золотой,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 12 657 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая
2004 Chrysler Pt Cruiser Touring,$ 400 USD,1,3C4FY58B64T365295,159 329 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,спортивная версия,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 2 311 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2013 Subaru Outback 2.5i,$ 325 USD,1,4S4BRBAC8D1235048,138 038 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Серый,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 9 983 USD,$ 8 050 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,Механическая
2016 Honda Accord Lx,$ 1 850 USD,2,1HGCR2F32GA007098,155 270 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 17 994 USD,$ 13 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2022 Volkswagen Atlas Sel Premium R-line,$ 19 700 USD,1,1V2FR2CA1NC517263,35 332 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 23 224 USD,$ 41 350 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2003 Toyota Rav4,$ 1 650 USD,1,JTEGH20VX30090773,,13.05.2024 19:00 UTC,2.0l 4,,Бежевый,Бензин,передний привод,,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 6 439 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2021 Honda Civic Sport,$ 7 200 USD,1,2HGFC2F82MH540298,,13.05.2024 19:00 UTC,2.0l 4,,Красный,Бензин,передний привод,,,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 24 425 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Автоматическая
2012 Infiniti Ex35 Base,$ 1 850 USD,1,JN1AJ0HP2CM400189,167 836 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 7 811 USD,$ 9 325 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
2011 Audi Q5 Premium Plus,$ 2 100 USD,1,WA1DKAFP0BA110026,129 668 mi(подтвержден),13.05.2024 19:00 UTC,3.2l 6,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 9 223 USD,$ 7 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2016 Jeep Cherokee Limited,$ 2 400 USD,1,1C4PJLDB9GW342269,71 646 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,4-дверный спорт,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 17 830 USD,$ 13 325 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2022 Honda Hr-v Sport,$ 7 800 USD,1,3CZRU5H18NM721932,48 464 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 20 760 USD,$ 22 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
2017 Nissan Versa S,$ 1 000 USD,1,3N1CN7AP2HK471948,47 548 mi(подтвержден),13.05.2024 18:00 UTC,1.6l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 9 350 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Повреждение передней части,,Автоматическая
2007 Buick Rendezvous Cx,$ 400 USD,1,3G5DA03L47S502203,179 501 mi,13.05.2024 18:00 UTC,3.5l 6,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 4 025 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Град,,Автоматическая
1994 Lincoln Continental Executive,$ 725 USD,1,1LNLM9746RY600854,65 278 mi,13.05.2024 19:00 UTC,3.8l 6,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"PHOENIX, ILLINOIS",$ 0 USD,$ 0 USD,IL - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая
2010 Toyota Sienna Ce,$ 1 600 USD,1,5TDKK4CCXAS311580,134 218 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 7 151 USD,$ 7 375 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая
2018 Nissan Altima 2.5,$ 5 200 USD,1,1N4AL3AP2JC198272,62 578 mi(подтвержден),13.05.2024 17:00 UTC,2.5l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"EIGHT MILE, ALABAMA",$ 15 877 USD,$ 15 400 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение задней части,,Автоматическая
2024 Toyota Rav4 Limited,$ 14 500 USD,1,2T3Y1RFVXRW302248,23 805 mi(подтвержден),13.05.2024 17:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"EIGHT MILE, ALABAMA",$ 37 705 USD,$ 0 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2012 Chevrolet Camaro 2ss,$ 7 000 USD,2,2G1FK1EJ6C9210651,94 639 mi(подтвержден),13.05.2024 17:00 UTC,6.2l 8,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"GRAND PRAIRIE, TEXAS",$ 11 786 USD,$ 15 150 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,Автоматическая
2019 Buick Encore Sport Touring,$ 800 USD,1,KL4CJ2SB8KB917631,37 669 mi(подтвержден),13.05.2024 14:00 UTC,1.4l 4,,Синий,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,"BROOKHAVEN, NEW YORK",$ 0 USD,$ 16 150 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Верх/крыша,Автоматическая
2020 Buick Encore Preferred,$ 4 600 USD,1,KL4CJASB2LB073078,32 616 mi(подтвержден),13.05.2024 14:00 UTC,1.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOUISVILLE, KENTUCKY",$ 16 969 USD,$ 17 750 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая
2019 Ford F150 Supercrew,$ 8 000 USD,1,1FTEW1E44KKE65779,80 785 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серебряный,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 27 438 USD,$ 32 825 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение стороны,Повреждение задней части,Автоматическая
2018 Kia Stinger Gt2,$ 2 100 USD,2,KNAE55LCXJ6020052,167 908 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Серый,Бензин,задний привод,,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 17 517 USD,$ 25 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2019 Honda Pilot Exl,$ 8 000 USD,2,5FNYF6H50KB087116,76 988 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 24 466 USD,$ 25 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2016 Honda Accord Lx,$ 1 850 USD,2,1HGCR2F32GA007098,155 270 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 17 994 USD,$ 13 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2018 Kia Stinger Gt2,$ 2 100 USD,2,KNAE55LCXJ6020052,167 908 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Серый,Бензин,задний привод,,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 17 517 USD,$ 25 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2019 Honda Pilot Exl,$ 8 000 USD,2,5FNYF6H50KB087116,76 988 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 24 466 USD,$ 25 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2012 Ford Explorer Limited,$ 1 100 USD,2,1FMHK7F84CGA84110,194 387 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 9 836 USD,$ 8 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая
2015 Chevrolet Trax Ltz,$ 2 400 USD,1,3GNCJNSB6FL187799,86 490 mi(подтвержден),13.05.2024 19:00 UTC,1.4l 4,,Красный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 9 375 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2011 Chevrolet Equinox Ls,$ 325 USD,1,2GNALBEC1B1176578,207 708 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Белый,Бензин,передний привод,,,"SACRAMENTO, CALIFORNIA",$ 14 900 USD,$ 5 675 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Автоматическая
2014 Ford Explorer Xlt,$ 1 900 USD,1,1FM5K7D91EGB88278,162 119 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 14 848 USD,$ 9 050 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение задней части,Повреждение стороны,Автоматическая
2007 Toyota Tundra Double Cab Sr5,$ 3 800 USD,1,5TBBV541X7S452323,247 825 mi(подтвержден),13.05.2024 19:00 UTC,5.7l 8,пикап экипажа,Белый,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 15 000 USD,$ 11 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
2023 Lexus Rx 350 Premium,$ 25 250 USD,12,JTJCHMAAXP2003469,15 116 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Оранжевый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, TEXAS",$ 0 USD,$ 56 200 USD,TX - SALVAGE VEHICLE TITLE,Дилерские услуги Copart,Повсюду,,Автоматическая
2017 Chevrolet Tahoe C1500 Ls,$ 10 700 USD,2,1GNSCAKC1HR231887,84 368 mi(подтвержден),13.05.2024 19:00 UTC,5.3l 8,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 18 514 USD,$ 25 750 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Автоматическая
2014 Toyota Scion Tc,$ 2 300 USD,1,JTKJF5C7XE3068846,118 597 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Синий,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 9 275 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Конфискат,Незначительная вмятина/царапины,,Механическая
2016 Honda Accord Lx,$ 3 750 USD,1,1HGCR2F33GA064278,151 675 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 11 077 USD,$ 13 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
2021 Honda Odyssey Exl,$ 7 000 USD,1,5FNRL6H73MB014128,86 884 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 32 239 USD,$ 33 125 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2010 Chevrolet Impala Lt,$ 650 USD,1,2G1WB5EKXA1188679,130 707 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Угольный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 5 577 USD,$ 7 200 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2013 Mini Cooper S,$ 2 500 USD,2,WMWSV3C52DT389891,68 225 mi(подтвержден),13.05.2024 19:00 UTC,1.6l 4,,Кремовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 7 150 USD,CA - SALVAGE CERTIFICATE,Вандализм,Вандализм,,Механическая
2021 Toyota Rav4 Xle Premium,$ 7 700 USD,1,2T3C1RFV4MW150681,59 515 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 0 USD,$ 29 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая
2018 Toyota Corolla L,$ 2 800 USD,1,5YFBURHE5JP789609,103 573 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Черный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 15 200 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,Повреждение стороны,Автоматическая
2020 Toyota Tacoma Double Cab,$ 10 600 USD,1,5TFAX5GN6LX175119,60 027 mi(подтвержден),13.05.2024 19:00 UTC,2.7l 4,,Серый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 23 067 USD,$ 28 250 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая
2022 Chevrolet Colorado Z71,$ 9 400 USD,2,1GCGSDENXN1212412,20 029 mi,13.05.2024 19:00 UTC,3.6l 6,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 0 USD,$ 35 400 USD,AZ - CERT OF TITLE - SALVAGE,Дилерские услуги Copart,Повреждение передней части,Повреждение стороны,Автоматическая
2007 Volvo Xc90 3.2,$ 600 USD,2,YV4CN982471337331,134 182 mi(подтвержден),13.05.2024 19:00 UTC,3.2l 6,4-дверный спорт,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 0 USD,$ 3 900 USD,AZ - CERTIFICATE OF TITLE,Пожертвование,Незначительная вмятина/царапины,,Автоматическая
2008 Toyota Sequoia Limited,$ 3 950 USD,1,5TDBY68A98S003537,212 530 mi(подтвержден),13.05.2024 19:00 UTC,5.7l 8,,Серебряный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 9 137 USD,$ 12 650 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повсюду,Автоматическая
2008 Toyota Sequoia Limited,$ 3 950 USD,1,5TDBY68A98S003537,212 530 mi(подтвержден),13.05.2024 19:00 UTC,5.7l 8,,Серебряный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 9 137 USD,$ 12 650 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повсюду,Автоматическая
