Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2018 Subaru Outback 2.5i Premium,$ 1 300 USD,1,4S4BSACC2J3281275,,15.05.2024 19:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""PORTLAND, OREGON"",$ 0 USD,$ 20 000 USD,OR - SALVAGE TITLE CERTIFICATE,Кража,Повсюду,,
2015 Freightliner Cascadia 125,$ 1 150 USD,4,3AKGGLDV5FSFR8241,,15.05.2024 19:00 UTC,12.8l 6,Белый,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 21 200 USD,NV - SALVAGE TITLE,Дилерские услуги Copart,Повреждение передней части,,
2011 Jeep Liberty Sport,$ 150 USD,1,1J4PN2GK3BW581488,,15.05.2024 19:00 UTC,3.7l 6,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 6 481 USD,$ 5 850 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,
2012 Toyota Prius,$ 800 USD,1,JTDKN3DU7C1539142,123 555 mi,15.05.2024 19:00 UTC,1.8l 4,Серебряный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 8 850 USD,CA - ACQ BOS - POST SALE - SALVAGE,Публичный коносамент,Повреждение передней части,,Повреждение задней части
2014 Ford Focus Se,$ 350 USD,1,1FADP3F22EL461610,104 234 mi,15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 6 256 USD,$ 5 975 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,Повреждение стороны
2024 Chevrolet Malibu Lt,$ 13 600 USD,1,1G1ZD5ST2RF149013,5 946 mi(подтвержден),15.05.2024 16:00 UTC,1.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ORLANDO, FLORIDA"",$ 0 USD,$ 0 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение стороны,,
2008 Ford Edge Limited,$ 500 USD,1,2FMDK49C78BB27611,166 644 mi,15.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 3 952 USD,$ 4 225 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,
2012 Kia Sportage Lx,$ 125 USD,1,KNDPBCA29C7192296,,15.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""AIRWAY HEIGHTS, WASHINGTON"",$ 5 507 USD,$ 7 250 USD,WA - BILL OF SALE-PARTS ONLY,Столкновение,Опрокидывание/Перевертышь,,
2012 Nissan Altima Base,$ 675 USD,1,1N4AL2AP4CN579512,130 297 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серый,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 754 USD,$ 6 325 USD,OR - LIEN PAPERS SALVAGE,Столкновение,Повреждение передней части,,Повреждение задней части
2014 Kia Soul +,$ 1 500 USD,1,KNDJP3A50E7037785,160 012 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, UTAH"",$ 0 USD,$ 7 175 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2020 Nissan Maxima Sr,$ 6 000 USD,1,1N4AA6EV4LC383961,65 003 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 5 484 USD,$ 26 000 USD,AZ - CERT OF TITLE - SALVAGE,Вандализм,Вандализм,,Незначительная вмятина/царапины
2022 Nissan Kicks S,$ 5 800 USD,1,3N1CP5BV0NL511932,21 841 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 18 725 USD,NV - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение стороны,,Повреждение передней части
2021 Jeep Grand Cherokee Summit,$ 4 800 USD,1,1C4RJFJG3MC676322,47 651 mi,15.05.2024 19:00 UTC,3.6l 6,Черный,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,,""AIRWAY HEIGHTS, WASHINGTON"",$ 0 USD,$ 41 700 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Столкновение,Повреждение передней части,,Повреждение стороны
2017 Toyota Camry Le,$ 1 400 USD,1,4T1BF1FK3HU683298,58 776 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 20 942 USD,$ 15 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2004 Nissan Sentra 1.8,$ 725 USD,1,3N1CB51D04L918686,183 132 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 5 597 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2018 Ford Fusion Se Hybrid,$ 2 750 USD,1,3FA6P0LU0JR234618,105 743 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 11 894 USD,$ 13 100 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,,
2019 Lincoln Navigator L Reserve,$ 10 000 USD,1,5LMJJ3LT2KEL11971,43 218 mi,15.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,4х4 с задним приводом,,,""NORTH LAS VEGAS, NEVADA"",$ 39 442 USD,$ 53 475 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2003 Ford Explorer Xlt,$ 100 USD,1,1FMZU73W93ZA46216,,15.05.2024 19:00 UTC,4.6l 8,Синий,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""AIRWAY HEIGHTS, WASHINGTON"",$ 4 415 USD,$ 0 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2015 Exma Mower,$ 225 USD,4,315647138,,15.05.2024 17:00 UTC,,Красный,Автоматическая,,,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 0 USD,$ 0 USD,TN - BILL OF SALE,Дилерские услуги Copart,Нормальный износ,,
2017 Toyota Rav4 Xle,$ 7 900 USD,1,2T3WFREV7HW403448,20 531 mi,15.05.2024 19:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 24 550 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,,Повреждение задней части
2003 Dodge Ram 2500 St,$ 5 100 USD,1,3D7KU28673G729040,,15.05.2024 19:00 UTC,5.9l 6,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 6 466 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,пикап экипажа,Повреждение стороны
2013 Toyota Tacoma Double Cab,$ 7 900 USD,1,5TFLU4EN9DX071143,166 391 mi(подтвержден),15.05.2024 19:00 UTC,4.0l 6,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 13 689 USD,$ 18 100 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2020 Bmw 740 I,$ 25 500 USD,1,WBA7T2C06LCD64472,60 405 mi(подтвержден),15.05.2024 17:00 UTC,3.0l 6,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""NEW ORLEANS, LOUISIANA"",$ 31 987 USD,$ 40 800 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2004 Honda Civic Dx Vp,$ 125 USD,2,1HGEM22194L082389,223 128 mi,15.05.2024 19:00 UTC,1.7l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 0 USD,NV - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,,Повреждение задней части
2024 Honda Civic Lx,$ 8 400 USD,1,19XFL2H51RE008058,332 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 22 654 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2016 Chrysler Town & Country Touring,$ 2 250 USD,1,2C4RC1BG5GR281811,115 438 mi(подтвержден),15.05.2024 17:00 UTC,3.6l 6,Синий,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 9 850 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2011 Cadillac Srx Premium Collection,$ 1 800 USD,2,3GYFNCEY9BS554980,89 216 mi(подтвержден),15.05.2024 17:00 UTC,3.0l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 8 003 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,Повреждение задней части
2008 Acura Tl Type S,$ 1 450 USD,1,19UUA76518A043585,191 034 mi,15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 7 125 USD,OR - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение стороны,,
2006 Chevrolet Silverado K1500,$ 225 USD,2,2GCEK13T861241149,,15.05.2024 17:00 UTC,5.3l 8,Черный,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 7 090 USD,$ 9 500 USD,LA - CERTIFICATE OF DESTRUCTION,Пожар,Пожар двигателя,,Повреждение задней части
2015 Jeep Compass Latitude,$ 1 600 USD,1,1C4NJDEB0FD168422,58 056 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 15 012 USD,$ 14 825 USD,OR - LIEN PAPERS SALVAGE,Пожар,Пожар двигателя,,
2017 Kia Soul +,$ 1 000 USD,1,KNDJP3A51H7463442,152 133 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 6 619 USD,$ 11 650 USD,NV - SALVAGE TITLE,Кража,Механическое повреждение,4-дверный спорт,Незначительная вмятина/царапины
2014 Jeep Patriot Sport,$ 1 700 USD,1,1C4NJPBBXED912841,110 347 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 7 456 USD,$ 6 800 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2016 Hyundai Elantra Se,$ 1 500 USD,1,5NPDH4AE2GH696109,,15.05.2024 19:00 UTC,1.8l 4,Бордовый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 10 300 USD,NV - SALVAGE TITLE,Кража,Вандализм,,Механическое повреждение
2007 Toyota Prius,$ 225 USD,2,JTDKB20U877645899,197 645 mi,15.05.2024 17:00 UTC,1.5l 4,Зеленый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, TEXAS"",$ 4 969 USD,$ 7 100 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2016 Ford F250 Super Duty,$ 8 200 USD,1,1FT7W2BT6GEC03200,114 962 mi(подтвержден),15.05.2024 19:00 UTC,6.7l 8,Серый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 20 227 USD,$ 34 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2014 Hyundai Sonata Se,$ 625 USD,2,5NPEC4AC2EH856889,,15.05.2024 19:00 UTC,2.4l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 16 288 USD,$ 7 625 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение задней части
2018 Toyota Rav4 Hv Limited,$ 11 400 USD,1,JTMDJREV3JD237163,47 592 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 25 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2010 Lincoln Mks,$ 125 USD,1,1LNHL9DR9AG615447,91 573 mi,15.05.2024 19:00 UTC,3.7l 6,Пожар,,Бензин,передний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 7 363 USD,$ 5 725 USD,NV - NON-REPAIRABLE VEHICLE CERT,Пожар,Пожар,,
2012 Dodge Avenger Sxt,$ 500 USD,1,1C3CDZEG6CN313528,247 301 mi(подтвержден),15.05.2024 17:00 UTC,3.6l 6,Серый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 0 USD,$ 6 325 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,4-дверный седан,Повреждение стороны
2018 Toyota 4runner Sr5/sr5 Premium,$ 8 000 USD,1,JTEBU5JR8J5489478,56 779 mi(подтвержден),15.05.2024 17:00 UTC,4.0l 6,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 32 516 USD,$ 30 700 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Повреждение передней части
2023 Hyundai Venue Sel,$ 5 100 USD,1,KMHRC8A39PU230981,5 026 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""AIRWAY HEIGHTS, WASHINGTON"",$ 18 359 USD,$ 22 675 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2018 Mazda Cx-5 Touring,$ 7 100 USD,1,JM3KFBCM1J0319353,45 964 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 16 541 USD,$ 20 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2019 Subaru Outback 2.5i Limited,$ 7 600 USD,1,4S4BSANC7K3263420,33 087 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 17 321 USD,$ 23 900 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,,
2012 Kia Optima Sx,$ 475 USD,1,5XXGR4A63CG008496,314 168 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 11 020 USD,$ 7 325 USD,TN - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,Незначительная вмятина/царапины
2015 Toyota Prius V,$ 1 600 USD,1,JTDZN3EUXFJ023925,63 887 mi,15.05.2024 19:00 UTC,1.8l 4,Серебряный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 21 310 USD,$ 12 325 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2011 Suzuki Gsx-r600,$ 1 300 USD,1,JS1GN7FAXB2102948,,15.05.2024 17:00 UTC,4,Белый,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 20 031 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Опрокидывание/Перевертышь,,
2013 Nissan Rogue S,$ 3 050 USD,1,JN8AS5MT3DW521396,61 102 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 6 332 USD,$ 7 025 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,
2020 Chrysler Voyager Lxi,$ 3 800 USD,1,2C4RC1DG0LR157744,86 137 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Угольный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 12 664 USD,$ 19 125 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2014 Nissan Altima 2.5,$ 2 850 USD,1,1N4AL3AP3EN368388,103 517 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 7 775 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Конфискат,Повреждение передней части,,Повреждение стороны
2005 Camp T-rex,$ 11 200 USD,1,2C9TAK16251145233,179 947 mi(подтвержден),15.05.2024 17:00 UTC,,Белый,Механическая,,,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 39 745 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE FLOOD,Вода/Наводнение,Вода/Наводнение,,
2019 Chevrolet Silverado C1500 High Country,$ 15 500 USD,1,3GCPWFED8KG257983,79 223 mi(подтвержден),15.05.2024 17:00 UTC,5.3l 8,Красный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 25 396 USD,$ 38 250 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2022 Toyota Rav4 Xse,$ 7 600 USD,1,2T3E6RFV4NW030830,,15.05.2024 14:00 UTC,2.5l 4,Белый,Автоматическая,Гибрид,Полный привод,,улучшенные транспортные средства,""SPARTANBURG, SOUTH CAROLINA"",$ 21 153 USD,$ 40 875 USD,SC - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2022 Chevrolet Blazer Rs,$ 5 300 USD,1,3GNKBKRS4NS176396,33 922 mi(подтвержден),15.05.2024 14:00 UTC,3.6l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""DAVISON, MICHIGAN"",$ 43 766 USD,$ 36 675 USD,MI - SCRAP CERTIFICATE OF TITLE,Столкновение,Повсюду,,
2023 Utility Trailer,$ 2 100 USD,2,1L9BE1228PG639088,,15.05.2024 17:00 UTC,,Синий,,,,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 0 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Ураган,Повреждение стороны,,
2016 Dodge Grand Caravan Sxt,$ 800 USD,1,2C4RDGCG2GR276919,153 904 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Угольный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 7 617 USD,$ 9 500 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2017 Hyundai Sonata Se,$ 2 500 USD,1,5NPE24AF6HH582422,117 869 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 10 746 USD,$ 9 125 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,
2007 Audi S6 Quattro,$ 1 050 USD,1,WAUGN74F07N034571,112 823 mi(подтвержден),15.05.2024 19:00 UTC,5.2l 10,Черный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 7 175 USD,NV - CERTIFICATE OF TITLE (P),Дилерские услуги Copart,Незначительная вмятина/царапины,4-дверный седан,
2014 Dodge Challenger Srt8 Core,$ 10 100 USD,1,2C3CDYDJ7EH105225,44 930 mi(подтвержден),15.05.2024 19:00 UTC,6.4l 8,Черный,,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 25 457 USD,$ 20 875 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2018 Alfa Romeo Stelvio Quadrifoglio,$ 11 700 USD,1,ZASFAKEVXJ7C28708,43 575 mi(подтвержден),15.05.2024 19:00 UTC,2.9l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 41 558 USD,$ 40 300 USD,CA - SALVAGE CERTIFICATE,Вода/Наводнение,Вода/Наводнение,,
2022 Chevrolet Equinox Lt,$ 8 100 USD,1,3GNAXKEV8NL121750,51 128 mi(подтвержден),15.05.2024 19:00 UTC,1.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 7 867 USD,$ 23 600 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,
2020 Chevrolet Silverado K1500 Custom,$ 13 400 USD,1,3GCPYBEK7LG203691,64 017 mi(подтвержден),15.05.2024 19:00 UTC,2.7l 4,Коричневый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 26 110 USD,$ 34 050 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,
2022 Bmw X7 Xdrive40i,$ 31 250 USD,1,5UXCW2C00N9M49943,,15.05.2024 19:00 UTC,3.0l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 41 525 USD,$ 71 400 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2014 Chevrolet Cruze Lt,$ 2 900 USD,1,1G1PC5SB8E7309143,13 308 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 14 600 USD,OR - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,
2017 Toyota Highlander Se,$ 13 500 USD,1,5TDJZRFH9HS509041,58 672 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 24 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2016 Mini Cooper S,$ 3 750 USD,1,WMWXU3C53G2D28068,56 100 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 12 057 USD,$ 11 325 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,
2024 Hyundai Tucson Limited,$ 17 000 USD,2,5NMJE3DE8RH346484,15 176 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ARCADIA, FLORIDA"",$ 0 USD,$ 18 425 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение задней части,,
2005 Nissan Altima S,$ 275 USD,1,1N4AL11D75C146586,205 045 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 4 338 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,Повреждение стороны
2022 Kia K5 Gt Line,$ 6 700 USD,1,5XXG64J2XNG107745,,15.05.2024 17:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""NEW ORLEANS, LOUISIANA"",$ 19 844 USD,$ 27 450 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2012 Dodge Ram 1500 Laramie,$ 3 800 USD,1,1C6RD6NTXCS193856,111 913 mi,15.05.2024 19:00 UTC,5.7l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 19 201 USD,$ 16 275 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение задней части
2023 Honda Passport Elite,$ 12 400 USD,1,5FNYF8H00PB014058,7 429 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 26 020 USD,$ 40 850 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2019 Exma Mower,$ 550 USD,4,404503010,,15.05.2024 17:00 UTC,,Красный,Автоматическая,,,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 0 USD,$ 0 USD,TN - BILL OF SALE,Дилерские услуги Copart,Нормальный износ,,
2016 Mazda Cx-3 Grand Touring,$ 5 700 USD,1,JM1DKBD75G0110762,72 244 mi,15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, ARIZONA"",$ 0 USD,$ 12 800 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,стационарный (неподвижный),Повреждение ходовой части
2018 Gmc Sierra C1500,$ 9 300 USD,1,3GTP1LEC0JG384617,102 187 mi(подтвержден),15.05.2024 19:00 UTC,5.3l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 15 250 USD,$ 24 100 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,,Повреждение ходовой части
